L1_L,L1_E_c,L1_E_v,L1_N_D,L1_N_A,L2_L,L2_E_c,L2_E_v,L2_N_D,L2_N_A,L3_L,L3_E_c,L3_E_v,L3_N_D,L3_N_A,MPP,IntSRHn_mean,simulation_id,extraction_timestamp
2.0000000000000004e-08,3.9,6.0,4.9999999999999993e+20,4.999999999999999e+19,3.5e-07,3.7,5.4,1e+16,1e+17,4.999999999999999e-08,3.0,5.2,4.999999999999999e+19,7.071067811865475e+20,178.817907615,6.563885590747851e+27,sim_4829,2025-09-23T16:36:54.160084
2.0000000000000004e-08,4.0,5.8,1e+21,4.999999999999999e+19,2.1e-07,3.8,5.6,3.162277660168379e+16,1e+16,4.999999999999999e-08,3.0,5.2,1e+19,7.071067811865475e+20,207.6961384025,2.075302082083144e+28,sim_4830,2025-09-23T16:36:54.369178
4.999999999999999e-08,3.8,6.0,1e+21,1e+19,2.7999999999999997e-07,3.8,5.4,1e+17,1e+17,4.999999999999999e-08,3.0,5.2,1e+19,7.071067811865475e+20,603.1172966675,1.1252031155957257e+28,sim_4831,2025-09-23T16:36:54.581080
4.999999999999999e-08,3.9,5.8,1e+21,2.2360679774997897e+19,2.1e-07,3.7,5.4,1e+17,3.162277660168379e+16,2.0000000000000004e-08,2.8,5.2,4.999999999999999e+19,1e+21,254.58185465124998,1.4335771098964417e+28,sim_4832,2025-09-23T16:36:54.783620
3.162277660168379e-08,3.8,5.8,4.9999999999999993e+20,1e+19,2.1e-07,3.6,5.5,1e+16,1e+17,2.0000000000000004e-08,2.8,5.2,4.999999999999999e+19,7.071067811865475e+20,9.839109449150001,3.51370514523407e+27,sim_4833,2025-09-23T16:36:54.958253
4.999999999999999e-08,4.0,6.0,4.9999999999999993e+20,2.2360679774997897e+19,2.7999999999999997e-07,3.7,5.5,3.162277660168379e+16,1e+17,2.0000000000000004e-08,2.8,5.2,4.999999999999999e+19,1e+21,107.47509653062,4.124319946708993e+31,sim_4834,2025-09-23T16:36:55.153326
4.999999999999999e-08,4.0,6.0,7.071067811865475e+20,1e+19,3.5e-07,3.7,5.5,1e+16,3.162277660168379e+16,2.0000000000000004e-08,3.2,5.2,1e+19,7.071067811865475e+20,108.53625692887998,4.59017190724696e+31,sim_4835,2025-09-23T16:36:55.336684
2.0000000000000004e-08,4.0,5.8,1e+21,2.2360679774997897e+19,2.1e-07,3.8,5.5,3.162277660168379e+16,1e+17,2.0000000000000004e-08,3.2,5.2,1e+19,4.9999999999999993e+20,169.8960424512,5.36781522424175e+30,sim_4836,2025-09-23T16:36:55.532078
2.0000000000000004e-08,3.8,6.0,7.071067811865475e+20,1e+19,2.7999999999999997e-07,3.6,5.5,3.162277660168379e+16,3.162277660168379e+16,3.162277660168379e-08,3.2,5.2,1e+19,4.9999999999999993e+20,10.32875216655,3.0131264479489276e+27,sim_4837,2025-09-23T16:36:55.724463
4.999999999999999e-08,4.0,5.9,4.9999999999999993e+20,1e+19,2.7999999999999997e-07,3.6,5.6,1e+16,1e+16,4.999999999999999e-08,3.0,5.2,2.2360679774997897e+19,1e+21,150.69267607319998,1.416082197353908e+31,sim_4838,2025-09-23T16:36:55.920946
2.0000000000000004e-08,3.9,5.8,4.9999999999999993e+20,4.999999999999999e+19,2.7999999999999997e-07,3.7,5.6,1e+16,1e+16,3.162277660168379e-08,3.0,5.2,2.2360679774997897e+19,4.9999999999999993e+20,117.980729593,8.244722789777852e+27,sim_4839,2025-09-23T16:36:56.133425
3.162277660168379e-08,3.9,5.8,4.9999999999999993e+20,4.999999999999999e+19,3.5e-07,3.6,5.4,1e+16,1e+17,4.999999999999999e-08,3.0,5.2,2.2360679774997897e+19,4.9999999999999993e+20,180.45950294874999,7.611297691748217e+27,sim_4840,2025-09-23T16:36:56.326301
4.999999999999999e-08,4.0,6.0,7.071067811865475e+20,1e+19,3.5e-07,3.8,5.6,1e+17,1e+16,2.0000000000000004e-08,3.0,5.2,4.999999999999999e+19,1e+21,110.62616216135,7.69710239132516e+28,sim_4841,2025-09-23T16:36:56.501444
2.0000000000000004e-08,4.0,5.9,1e+21,4.999999999999999e+19,2.1e-07,3.8,5.6,1e+16,3.162277660168379e+16,3.162277660168379e-08,2.8,5.2,2.2360679774997897e+19,7.071067811865475e+20,164.2991558064,2.2457608421306785e+28,sim_4842,2025-09-23T16:36:56.693388
2.0000000000000004e-08,4.0,6.0,1e+21,1e+19,3.5e-07,3.6,5.4,3.162277660168379e+16,1e+16,4.999999999999999e-08,3.2,5.2,1e+19,1e+21,244.43893066439998,5.744075831264129e+30,sim_4843,2025-09-23T16:36:56.906632
2.0000000000000004e-08,3.9,5.9,4.9999999999999993e+20,4.999999999999999e+19,2.7999999999999997e-07,3.8,5.4,3.162277660168379e+16,3.162277660168379e+16,3.162277660168379e-08,3.0,5.2,2.2360679774997897e+19,4.9999999999999993e+20,605.4100564299999,1.4770220379686476e+28,sim_4844,2025-09-23T16:36:57.055811
4.999999999999999e-08,4.0,6.0,4.9999999999999993e+20,1e+19,2.1e-07,3.8,5.6,1e+17,1e+16,3.162277660168379e-08,3.2,5.2,4.999999999999999e+19,7.071067811865475e+20,157.1115632748,1.5461263417568173e+30,sim_4845,2025-09-23T16:36:57.248113
